time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,PI,Result,X
47,100,0,1,1,3.14159,0.9999999999991198,1.570795
48,100,0,1,1,3.14159,0.9999999999991198,1.570795
49,100,0,1,1,3.14159,0.9999999999991198,1.570795
50,100,0,1,1,3.14159,0.9999999999991198,1.570795
51,100,0,1,1,3.14159,0.9999999999991198,1.570795
52,100,0,1,1,3.14159,0.9999999999991198,1.570795
53,100,0,1,1,3.14159,0.9999999999991198,1.570795
54,100,0,1,1,3.14159,0.9999999999991198,1.570795
55,100,0,1,1,3.14159,0.9999999999991198,1.570795
56,100,0,1,1,3.14159,0.9999999999991198,1.570795
57,100,0,1,1,3.14159,0.9999999999991198,1.570795
58,100,0,1,1,3.14159,0.9999999999991198,1.570795
59,100,0,1,1,3.14159,0.9999999999991198,1.570795
60,100,0,1,1,3.14159,0.9999999999991198,1.570795
61,100,0,1,1,3.14159,0.9999999999991198,1.570795
62,100,0,1,1,3.14159,0.9999999999991198,1.570795
63,100,0,1,1,3.14159,0.9999999999991198,1.570795
64,100,0,1,1,3.14159,0.9999999999991198,1.570795
65,100,0,1,1,3.14159,0.9999999999991198,1.570795
66,100,0,1,1,3.14159,0.9999999999991198,1.570795
67,100,0,1,1,3.14159,0.9999999999991198,1.570795
68,100,0,1,1,3.14159,0.9999999999991198,1.570795
69,100,0,1,1,3.14159,0.9999999999991198,1.570795
70,100,0,1,1,3.14159,0.9999999999991198,1.570795
71,100,0,1,1,3.14159,0.9999999999991198,1.570795
72,100,0,1,1,3.14159,0.9999999999991198,1.570795
73,100,0,1,1,3.14159,0.9999999999991198,1.570795
74,100,0,1,1,3.14159,0.9999999999991198,1.570795
75,100,0,1,1,3.14159,0.9999999999991198,1.570795
76,100,0,1,1,3.14159,0.9999999999991198,1.570795
77,100,0,1,1,3.14159,0.9999999999991198,1.570795
78,100,0,1,1,3.14159,0.9999999999991198,1.570795
79,100,0,1,1,3.14159,0.9999999999991198,1.570795
80,100,0,1,1,3.14159,0.9999999999991198,1.570795
81,100,0,1,1,3.14159,0.9999999999991198,1.570795
82,100,0,1,1,3.14159,0.9999999999991198,1.570795
83,100,0,1,1,3.14159,0.9999999999991198,1.570795
84,100,0,1,1,3.14159,0.9999999999991198,1.570795
85,100,0,1,1,3.14159,0.9999999999991198,1.570795
86,100,0,1,1,3.14159,0.9999999999991198,1.570795
87,100,0,1,1,3.14159,0.9999999999991198,1.570795
88,100,0,1,1,3.14159,0.9999999999991198,1.570795
89,100,0,1,1,3.14159,0.9999999999991198,1.570795
90,100,0,1,1,3.14159,0.9999999999991198,1.570795
91,100,0,1,1,3.14159,0.9999999999991198,1.570795
92,100,0,1,1,3.14159,0.9999999999991198,1.570795
93,100,0,1,1,3.14159,0.9999999999991198,1.570795
94,100,0,1,1,3.14159,0.9999999999991198,1.570795
95,100,0,1,1,3.14159,0.9999999999991198,1.570795
96,100,0,1,1,3.14159,0.9999999999991198,1.570795
97,100,0,1,1,3.14159,0.9999999999991198,1.570795
98,100,0,1,1,3.14159,0.9999999999991198,1.570795
99,100,0,1,1,3.14159,0.9999999999991198,1.570795
100,100,0,1,1,3.14159,0.9999999999991198,1.570795
